attribute_text,company_href,company_name,companytype_text,job_href,job_name,jobwelf,providesalary_text,updatedate,workarea_text
"深圳-南山区,无需经验,大专,招若干人",https://jobs.51job.com/all/co6135245.html,深圳市妙酷软件科技有限公司,民营公司,https://jobs.51job.com/shenzhen-nsq/126152755.html?s=01&t=0,(急聘) python爬虫开发工程师,五险一金 餐补补贴 住房补贴 专业培训 绩效奖金 年底双薪 弹性工作 员工旅游 定期体检 下午茶,4.5-6千/月,12-16,深圳-南山区
"深圳-南山区,大专,招1人",https://jobs.51job.com/all/co5489755.html,深圳市宇达计算机有限公司,民营公司,https://jobs.51job.com/shenzhen-nsq/113945968.html?s=01&t=0,Python开发工程师/前端/爬虫,餐饮补贴 通讯补贴 绩效奖金 年终奖金 股票期权,4.5-6千/月,12-16,深圳-南山区
"异地招聘,2年经验,大专,招2人",https://jobs.51job.com/all/co3473290.html,深圳中电国际信息科技有限公司,国企,https://jobs.51job.com/dongguan/125914049.html?s=01&t=0,Java/python爬虫工程师,五险一金 补充医疗保险 通讯补贴 专业培训 绩效奖金 定期体检 节日福利 年终奖金,1-1.5万/月,12-16,异地招聘
"深圳,2年经验,本科,招1人",https://jobs.51job.com/all/co3793986.html,深圳市迈维智视科技有限公司,民营公司,https://jobs.51job.com/shenzhen/123756552.html?s=01&t=0,Python 爬虫开发工程师,五险一金 年终奖金 绩效奖金 定期体检 带薪年假,1.2-2万/月,12-16,深圳
"深圳-福田区,3-4年经验,本科,招1人",https://jobs.51job.com/all/co3541593.html,深圳华秋电子有限公司,民营公司,https://jobs.51job.com/shenzhen-ftq/124441963.html?s=01&t=0,Python爬虫工程师,五险一金 年终奖金 绩效奖金 专业培训 全勤奖 节日福利 弹性工作 带薪年假,1.5-1.8万/月,12-16,深圳-福田区
"深圳-南山区,无需经验,大专,招6人",https://jobs.51job.com/all/co6113880.html,成都优格瑞得科技有限公司,民营公司,https://jobs.51job.com/shenzhen-nsq/126221383.html?s=01&t=0,python爬虫工程师（双休+14薪）,五险一金 绩效奖金 项目奖金 弹性工作 周末双休 员工旅游 大牛带队 14薪,4-8千/月,12-16,深圳-南山区
"深圳,3-4年经验,本科,招2人",https://jobs.51job.com/all/co1323936.html,深圳市中正国际物流有限公司,民营公司,https://jobs.51job.com/shenzhen/126963353.html?s=01&t=0,Python高级爬虫工程师,五险一金 专业培训 员工旅游 补充医疗保险 年终奖金 绩效奖金,1-3万/月,12-15,深圳
"深圳-南山区,本科,招若干人",https://jobs.51job.com/all/co107407.html,慧科讯业（北京）网络科技有限公司,外资（非欧美）,https://jobs.51job.com/shenzhen-nsq/113955633.html?s=01&t=0,Python 爬虫工程师,周末双休 带薪年假 五险一金 专业培训 节日福利,0.7-1.4万/月,12-15,深圳-南山区
"深圳,3-4年经验,本科,招1人",https://jobs.51job.com/all/co2995636.html,深圳市捷晶能源科技有限公司,民营公司,https://jobs.51job.com/shenzhen/127648518.html?s=01&t=0,Python爬虫工程师,五险一金 节日福利 专业培训 年度体检 年终奖金 周末双休 餐饮补贴,0.8-1.5万/月,12-15,深圳
"深圳-福田区,2年经验,大专,招1人",https://jobs.51job.com/all/co11915.html,深圳市百能信息技术有限公司,民营公司,https://jobs.51job.com/shenzhen-ftq/124463376.html?s=01&t=0,python爬虫,五险一金 员工旅游 绩效奖金 年终奖金,2-2.5万/月,12-10,深圳-福田区
"深圳-南山区,无需经验,大专,招若干人",https://jobs.51job.com/all/co6059210.html,成都巴迪巴迪网络科技有限公司,民营公司,https://jobs.51job.com/shenzhen-nsq/125125514.html?s=01&t=0,(急聘) python爬虫开发工程师,五险一金 餐补补贴 住房补贴 专业培训 绩效奖金 年底双薪 弹性工作 员工旅游 定期体检 下午茶,4-8千/月,12-09,深圳-南山区
"深圳-南山区,在校生/应届生,大专,招若干人",https://jobs.51job.com/all/co5647754.html,明哲,民营公司,https://jobs.51job.com/shenzhen-nsq/122589306.html?s=01&t=0,Python后端/爬虫（可应届）,,0.8-1.2万/月,12-09,深圳-南山区
"深圳-南山区,1年经验,大专,招3人",https://jobs.51job.com/all/co5605417.html,成都龙捷科技有限公司,民营公司,https://jobs.51job.com/shenzhen-nsq/122877317.html?s=01&t=0,python爬虫工程师,五险一金 餐补补贴 住房补贴 专业培训 绩效奖金 年底双薪 弹性工作 员工旅游 定期体检 下午茶,0.7-1.1万/月,12-09,深圳-南山区
"深圳-南山区,无需经验,大专,招若干人",https://jobs.51job.com/all/co5755443.html,深圳诚宝科技,民营公司,https://jobs.51job.com/shenzhen-nsq/124176569.html?s=01&t=0,(急聘) python爬虫开发工程师,五险一金 餐补补贴 住房补贴 专业培训 绩效奖金 年底双薪 弹性工作 员工旅游 定期体检 下午茶,4-8千/月,12-09,深圳-南山区
"深圳-南山区,1年经验,本科,招1人",https://jobs.51job.com/all/co3657088.html,深圳数位传媒科技有限公司,民营公司,https://jobs.51job.com/shenzhen-nsq/125182362.html?s=01&t=0,python爬虫工程师,股票期权 弹性工作 定期体检 员工旅游 专业培训 五险一金 大牛团队 年终奖金 14薪起,1.5-2万/月,11-25,深圳-南山区
"深圳-福田区,在校生/应届生,大专,招5人",https://jobs.51job.com/all/co6021458.html,陕西先秦网络科技有限责任公司,民营公司,https://jobs.51job.com/shenzhen-ftq/126361639.html?s=01&t=0,急聘python爬虫实习生,五险一金 补充医疗保险 补充公积金 员工旅游 餐饮补贴 交通补贴 绩效奖金 年终奖金 弹性工作 定期体检,0.8-1万/月,11-13,深圳-福田区
"深圳-龙华区,3-4年经验,大专,招2人",https://jobs.51job.com/all/co4715833.html,深圳市卖家成长网络科技有限公司,民营公司,https://jobs.51job.com/shenzhen-lhq/126603198.html?s=01&t=0,python爬虫工程师,五险一金 专业培训 绩效奖金 员工旅游 定期体检 节日福利,1.5-2万/月,11-11,深圳-龙华区
"深圳-龙华区,3-4年经验,本科,招2人",https://jobs.51job.com/all/co2137051.html,深圳市英驰贸易科技有限公司,民营公司,https://jobs.51job.com/shenzhen-lhq/122500304.html?s=01&t=0,python爬虫工程师,,1.5-2万/月,11-11,深圳-龙华区
"深圳-南山区,5-7年经验,本科,招2人",https://jobs.51job.com/all/co6167196.html,深圳市优伟同创科技有限公司,民营公司,https://jobs.51job.com/shenzhen-nsq/126714076.html?s=01&t=0,Python开发/爬虫工程师,,2-4万/月,11-08,深圳-南山区
"深圳-罗湖区,3-4年经验,本科,招2人",https://jobs.51job.com/all/co4232910.html,深圳通达天下国际旅行社有限公司,民营公司,https://jobs.51job.com/shenzhen-lhq/106935961.html?s=01&t=0,Python爬虫开发工程师,五险一金 带薪年假 员工旅游 周末双休,1-1.5万/月,10-19,深圳-罗湖区
"深圳,本科,招若干人",https://jobs.51job.com/all/co6094977.html,深圳市宝能投资集团有限公司,上市公司,https://jobs.51job.com/shenzhen/125922838.html?s=01&t=0,Python开发岗,,,12-16,深圳
"深圳-福田区,1年经验,招2人",https://jobs.51job.com/all/co5757758.html,首影科技（深圳）有限公司,民营公司,https://jobs.51job.com/shenzhen-ftq/123899378.html?s=01&t=0,Python开发工程师,,0.8-1.6万/月,12-16,深圳-福田区
"深圳-福田区,3-4年经验,本科,招若干人",https://jobs.51job.com/all/co3132608.html,深圳市德科信息技术有限公司,合资,https://jobs.51job.com/shenzhen-ftq/126739616.html?s=01&t=0,Python开发工程师,五险一金 周末双休 绩效奖金 年终奖金 补充商业险 员工旅游,1-1.5万/月,12-16,深圳-福田区
"深圳,3-4年经验,大专,招2人",https://jobs.51job.com/all/co5218066.html,深圳弘广商科技有限公司,民营公司,https://jobs.51job.com/shenzhen/126075644.html?s=01&t=0,Python开发工程师,补充公积金 员工旅游 年终奖金 绩效奖金 出国机会 交通补贴 餐饮补贴 弹性工作 双休,2-3.5万/月,12-16,深圳
"深圳-龙岗区,5-7年经验,本科,招1人",https://jobs.51job.com/all/co4112809.html,深圳优匠教育科技有限公司,民营公司,https://jobs.51job.com/shenzhen-lgq/127479268.html?s=01&t=0,Python高级开发工程师,节日福利 绩效奖金 带薪年假 社保,1.5-3万/月,12-16,深圳-龙岗区
"深圳-坪山区,1年经验,大专,招1人",https://jobs.51job.com/all/co2561430.html,祐富百胜宝电器（深圳）有限公司,外资（非欧美）,https://jobs.51job.com/shenzhen-psq/124922579.html?s=01&t=0,Python开发工程师,五险一金 餐饮补贴 专业培训 绩效奖金,0.7-1.5万/月,12-16,深圳-坪山区
"异地招聘,2年经验,大专,招3人",https://jobs.51job.com/all/co6169561.html,深圳市汇泉教育科技有限责任公司,民营公司,https://jobs.51job.com/jinan-lxq/126670671.html?s=01&t=0,Python开发工程师,,0.7-1万/月,12-16,异地招聘
"深圳-南山区,1年经验,本科,招1人",https://jobs.51job.com/all/co3705062.html,智高点知识产权集团有限公司,民营公司,https://jobs.51job.com/shenzhen-nsq/124058880.html?s=01&t=0,Python开发工程师,五险一金 专业培训 弹性工作 绩效奖金 股票期权,0.8-1万/月,12-15,深圳-南山区
"深圳,3-4年经验,本科,招1人",https://jobs.51job.com/all/co2579597.html,深圳中泓在线股份有限公司,上市公司,https://jobs.51job.com/shenzhen/110494996.html?s=01&t=0,高级爬虫工程师,五险一金 员工旅游 交通补贴 年终奖金 绩效奖金 股票期权,1.5-2.5万/月,12-15,深圳
"深圳-南山区,3-4年经验,本科,招1人",https://jobs.51job.com/all/co5989826.html,深圳市凯天达科技有限公司,民营公司,https://jobs.51job.com/shenzhen-nsq/124054903.html?s=01&t=0,Python开发工程师,,1-2万/月,12-15,深圳-南山区
"深圳-福田区,在校生/应届生,大专,招1人",https://jobs.51job.com/all/co5863971.html,深圳市成兴泰货运代理有限公司,民营公司,https://jobs.51job.com/shenzhen-ftq/127171927.html?s=01&t=0,python开发,五险一金 餐饮补贴 交通补贴 年终奖金 绩效奖金 定期体检 补充公积金 补充医疗保险 员工旅游,3.5-5千/月,12-15,深圳-福田区
"深圳-南山区,2年经验,大专,招2人",https://jobs.51job.com/all/co4784710.html,深圳市捷兴电子商务有限公司,民营公司,https://jobs.51job.com/shenzhen-nsq/117611929.html?s=01&t=0,python开发,,2-3.5万/月,12-15,深圳-南山区
"深圳,3-4年经验,本科,招1人",https://jobs.51job.com/all/co2829670.html,深圳市万全智策企业管理咨询服务股份有限公司,民营公司,https://jobs.51job.com/shenzhen/124894861.html?s=01&t=0,Python开发工程师,五险一金 员工旅游 绩效奖金 餐饮补贴 专业培训 年终奖金 下午茶 生日会,1-1.5万/月,12-15,深圳
"深圳-福田区,无需经验,大专,招3人",https://jobs.51job.com/all/co6088510.html,西安美品汇网络科技有限公司,民营公司,https://jobs.51job.com/shenzhen-ftq/125986166.html?s=01&t=0,Python实习生+双休96制,包吃 五险一金 包三餐 包住宿 弹性工作 周末双休 带薪年假 绩效奖金 交通补贴 加班补贴,7-9千/月,12-15,深圳-福田区
"深圳-龙华区,无需经验,大专,招4人",https://jobs.51job.com/all/co6175896.html,西安华谊兄弟影视文化传播有限公司,上市公司,https://jobs.51job.com/shenzhen-lhq/127097986.html?s=01&t=0,JAVA爬虫技术工程师,五险一金 出国机会 弹性工作 年终奖金 交通补贴 餐饮补贴 员工旅游 绩效奖金 定期体检 免费班车,0.8-1万/月,12-15,深圳-龙华区
"深圳-宝安区,3-4年经验,本科,招1人",https://jobs.51job.com/all/co4248782.html,深圳市启高启辰科技有限公司,民营公司,https://jobs.51job.com/shenzhen-baq/127551601.html?s=01&t=0,爬虫开发工程师,带薪年假 五险一金 绩效奖金 节日福利 专业培训 补充公积金 年终奖金,1-1.5万/月,12-15,深圳-宝安区
"深圳-龙岗区,5-7年经验,大专,招2人",https://jobs.51job.com/all/co642199.html,马衡达信息技术（上海）有限公司,外资（非欧美）,https://jobs.51job.com/shenzhen-lgq/123931992.html?s=01&t=0,Python高级开发工程师,五险一金 补充医疗保险 年终奖金 定期体检,1.5-2.5万/月,12-15,深圳-龙岗区
"深圳-南山区,3-4年经验,大专,招3人",https://jobs.51job.com/all/co4985114.html,深圳市墨者安全科技有限公司,民营公司,https://jobs.51job.com/shenzhen-nsq/126721088.html?s=01&t=0,爬虫开发工程师,五险一金 员工旅游 年终奖金 弹性工作 定期体检 绩效奖金,1-2万/月,12-15,深圳-南山区
"深圳-龙华区,3-4年经验,本科,招1人",https://jobs.51job.com/all/co5942838.html,奕帆信息科技（深圳）有限公司,民营公司,https://jobs.51job.com/shenzhen-lhq/123252950.html?s=01&t=0,爬虫开发工程师,,1-1.5万/月,12-15,深圳-龙华区
"深圳-龙岗区,3-4年经验,大专,招1人",https://jobs.51job.com/all/co2726119.html,深圳谱程未来科技有限公司,民营公司,https://jobs.51job.com/shenzhen-lgq/127572740.html?s=01&t=0,爬虫工程师,周末双休 五险一金 员工旅游 专业培训 绩效奖金 年终奖金 定期体检 加班补贴 全勤奖 岗位晋升,1-1.5万/月,12-15,深圳-龙岗区
"深圳-龙岗区,3-4年经验,大专,招1人",https://jobs.51job.com/all/co4948420.html,深圳市吉星时代科技有限公司,民营公司,https://jobs.51job.com/shenzhen-lgq/125953901.html?s=01&t=0,爬虫工程师,年终奖金 带薪年假 全勤奖 绩效奖金 节日福利 团队奖金 不定时聚餐 下午茶 五险一金,0.8-1.5万/月,12-15,深圳-龙岗区
"深圳-龙岗区,3-4年经验,本科,招1人",https://jobs.51job.com/all/co4642973.html,深圳市海拓创新科技有限公司,民营公司,https://jobs.51job.com/shenzhen-lgq/126532860.html?s=01&t=0,Python开发工程师,绩效奖金 节日福利 全勤奖 年终奖金 下午茶,1.2-1.6万/月,12-15,深圳-龙岗区
"深圳,3-4年经验,大专,招3人",https://jobs.51job.com/all/co5747422.html,深圳市达熙科技有限公司,民营公司,https://jobs.51job.com/shenzhen/119656715.html?s=01&t=0,高级Python开发工程师,,2-3.5万/月,12-15,深圳
"深圳,2年经验,大专,招若干人",https://jobs.51job.com/all/co3352286.html,成都迈思信息技术有限公司,民营公司,https://jobs.51job.com/shenzhen/102884773.html?s=01&t=0,爬虫开发工程师（会java）,五险一金 年终奖金 员工旅游 节日福利 周末双休,1-1.5万/月,12-15,深圳
"深圳-福田区,3-4年经验,本科,招2人",https://jobs.51job.com/all/co3902671.html,北京腾信软创科技股份有限公司,上市公司,https://jobs.51job.com/shenzhen-ftq/127088231.html?s=01&t=0,爬虫工程师,五险一金 员工旅游 餐饮补贴 股票期权,1.5-2万/月,12-15,深圳-福田区
"深圳-福田区,2年经验,本科,招2人",https://jobs.51job.com/all/co3414567.html,深圳市道合顺电子科技有限公司,民营公司,https://jobs.51job.com/shenzhen-ftq/123841233.html?s=01&t=0,网络爬虫工程师,五险一金 职级晋升体系,1-2万/月,12-16,深圳-福田区
"深圳-福田区,5-7年经验,本科,招1人",https://jobs.51job.com/all/co2589009.html,深圳市缘力胜科技有限公司,民营公司,https://jobs.51job.com/shenzhen-ftq/127026495.html?s=01&t=0,Python高级开发工程师,五险一金 年终奖金 补充医疗保险,1.3-2万/月,12-15,深圳-福田区
"深圳-龙华区,3-4年经验,本科,招若干人",https://jobs.51job.com/all/co5185991.html,深圳市爱图仕影像器材有限公司,民营公司,https://jobs.51job.com/shenzhen-lhq/122870167.html?s=01&t=0,python后台开发,五险一金 员工旅游 餐饮补贴 年终奖金 绩效奖金 定期体检 项目奖金,1-1.2万/月,12-15,深圳-龙华区
"深圳-龙华区,3-4年经验,本科,招1人",https://jobs.51job.com/all/co5840472.html,跨税云（深圳）科技有限公司,民营公司,https://jobs.51job.com/shenzhen-lhq/127259649.html?s=01&t=0,Python开发工程师,五险一金 节日福利 专业培训 加班补贴 带薪年假 下午茶 晋升快,1.5-2万/月,12-15,深圳-龙华区
"深圳-宝安区,无需经验,大专,招4人",https://jobs.51job.com/all/co6209417.html,陕西百邦智人力资源有限公司,民营公司,https://jobs.51job.com/shenzhen-baq/127237319.html?s=01&t=0,Python开发工程师/无经验,五险一金 补充公积金 免费班车 员工旅游 出国机会 绩效奖金 年终奖金 弹性工作 定期体检 餐饮补贴,7-9千/月,12-15,深圳-宝安区
"深圳-龙华区,无需经验,大专,招5人",https://jobs.51job.com/all/co6058440.html,深圳市尚道咨询管理有限公司,民营公司,https://jobs.51job.com/shenzhen-lhq/125186850.html?s=01&t=0,游戏测试工程师7K起,五险一金 弹性工作 年终奖金,0.7-1.2万/月,10-23,深圳-龙华区
"深圳-南山区,无需经验,大专,招3人",https://jobs.51job.com/all/co6058440.html,深圳市尚道咨询管理有限公司,民营公司,https://jobs.51job.com/shenzhen-nsq/125186745.html?s=01&t=0,游戏测试工程师7K起,五险一金 弹性工作 年终奖金,0.8-1万/月,10-23,深圳-南山区
"深圳-南山区,无需经验,大专,招4人",https://jobs.51job.com/all/co6113880.html,成都优格瑞得科技有限公司,民营公司,https://jobs.51job.com/shenzhen-nsq/126235845.html?s=01&t=0,大数据开发工程师（双休+14薪）,五险一金 绩效奖金 项目奖金 14薪 弹性工作 周末双休 员工旅游 大牛带队,4-8千/月,12-16,深圳-南山区
"深圳-南山区,在校生/应届生,本科,招1人",https://jobs.51job.com/all/co3959872.html,华夏城视网络电视股份有限公司,国企,https://jobs.51job.com/shenzhen-nsq/124546936.html?s=01&t=0,PHP开发实习,实习协议 工作餐 意外险 电视台平台 或有住宿,1-1.6千/月,12-15,深圳-南山区
"深圳-南山区,3-4年经验,本科,招1人",https://jobs.51job.com/all/co2578551.html,慧择网,上市公司,https://jobs.51job.com/shenzhen-nsq/126652696.html?s=01&t=0,商业分析师（数据方向） (MJ000326),,1.5-2.5万/月,12-16,深圳-南山区
"深圳-南山区,在校生/应届生,本科,招2人",https://jobs.51job.com/all/co4405329.html,深圳格隆汇信息科技有限公司,创业公司,https://jobs.51job.com/shenzhen-nsq/126664183.html?s=01&t=0,nodejs实习生,,2-3千/月,12-16,深圳-南山区
"深圳,3-4年经验,本科,招1人",https://jobs.51job.com/all/co123056.html,深圳市腾讯计算机系统有限公司,民营公司,https://jobs.51job.com/shenzhen/119874753.html?s=01&t=0,21882-腾讯医疗搜索后台开发,,,12-16,深圳
"深圳-南山区,1年经验,本科,招若干人",https://jobs.51job.com/all/co4064274.html,腾讯RDM,上市公司,https://jobs.51job.com/shenzhen-nsq/126933461.html?s=01&t=0,数据存储工程师,免费班车 弹性工作 节日福利 免费早餐 带薪年假 五险一金 绩效奖金 专业培训 商业保险 住房补贴,1.2-2万/月,12-15,深圳-南山区
"深圳-宝安区,5-7年经验,大专,招2人",https://jobs.51job.com/all/co2850309.html,深圳市腾拓科技有限公司,民营公司,https://jobs.51job.com/shenzhen-baq/123081101.html?s=01&t=0,PHP开发,五险一金 带薪年假 免费体检 节日福利 技能培训 年终分红 出国机会 淡季双休 年终奖金 年度旅游,1.5-2万/月,12-15,深圳-宝安区
"深圳-福田区,在校生/应届生,大专,招2人",https://jobs.51job.com/all/co3922972.html,深圳市亚势力广告有限公司,民营公司,https://jobs.51job.com/shenzhen-ftq/123766433.html?s=01&t=0,PHP开发工程师 （应届生）,,6-8千/月,12-15,深圳-福田区
"深圳,2年经验,本科,招1人",https://jobs.51job.com/all/co2276185.html,深圳市天泰网络技术有限公司,民营公司,https://jobs.51job.com/shenzhen/127605671.html?s=01&t=0,数据分析师,五险一金 员工旅游 年终奖金 定期体检 周末双休 提供住宿 餐补,0.6-1.5万/月,12-15,深圳
"深圳-南山区,无需经验,本科,招2人",https://jobs.51job.com/all/co5645508.html,亚飞太平洋（深圳）有限公司,民营公司,https://jobs.51job.com/shenzhen-nsq/126520679.html?s=01&t=0,商业分析师/研究分析师,五险一金 专业培训 年终奖金 定期体检 带薪年假 出国机会 补充医疗保险,0.8-1万/月,12-15,深圳-南山区
"深圳-南山区,3-4年经验,本科,招3人",https://jobs.51job.com/all/co5863444.html,亿科数字,民营公司,https://jobs.51job.com/shenzhen-nsq/124123566.html?s=01&t=0,高级大数据开发工程师,,2.5-3.5万/月,12-15,深圳-南山区
"深圳-南山区,5-7年经验,本科,招1人",https://jobs.51job.com/all/co5590680.html,深圳希施玛数据科技有限公司,民营公司,https://jobs.51job.com/shenzhen-nsq/125791369.html?s=01&t=0,量化高级开发工程师,五险一金 绩效奖金 弹性工作 周末双休 节假日福利 带薪年假 员工活动,1.5-2.2万/月,12-15,深圳-南山区
"深圳-南山区,2年经验,本科,招1人",https://jobs.51job.com/all/co6023024.html,深圳市华曦达科技股份有限公司,民营公司,https://jobs.51job.com/shenzhen-nsq/127590289.html?s=01&t=0,数据挖掘,,0.8-1.5万/月,12-15,深圳-南山区
"深圳-宝安区,在校生/应届生,本科,招若干人",https://jobs.51job.com/all/co5770342.html,深圳市金翰信息科技有限公司,民营公司,https://jobs.51job.com/shenzhen-baq/126849486.html?s=01&t=0,量化实习生,五险一金 年终奖金 员工旅游 周末双休,500元/天,12-15,深圳-宝安区
"深圳-宝安区,2年经验,本科,招1人",https://jobs.51job.com/all/co4885438.html,深圳市鑫景福科技有限公司,民营公司,https://jobs.51job.com/shenzhen-baq/125491395.html?s=01&t=0,SEO/SEM优化工程师,带薪年假 员工旅游 年终奖金 五险 节日福利 餐饮补贴,0.6-1万/月,12-15,深圳-宝安区
"深圳-福田区,2年经验,大专,招若干人",https://jobs.51job.com/all/co5095470.html,深圳市汇脉通科技有限公司,民营公司,https://jobs.51job.com/shenzhen-ftq/126598538.html?s=01&t=0,数据工程师,五险一金 补充公积金 绩效奖金,1-1.5万/月,12-15,深圳-福田区
