attribute_text,company_href,company_name,companytype_text,job_href,job_name,jobwelf,providesalary_text,updatedate,workarea_text
"深圳-福田区,1年经验,本科,招2人",https://jobs.51job.com/all/co3654439.html,深圳市融臻资产管理有限公司,民营公司,https://jobs.51job.com/shenzhen-ftq/127093497.html?s=01&t=0,数据分析师,五险一金 专业培训 绩效奖金 年终奖金 员工旅游 餐饮补贴 弹性工作,0.5-1万/月,12-15,深圳-福田区
"深圳,3-4年经验,本科,招1人",https://jobs.51job.com/all/co193864.html,比亚迪股份有限公司,民营公司,https://jobs.51job.com/shenzhen/127519418.html?s=01&t=0,大数据开发工程师,带薪年假 五险一金 专业培训 周末双休 福利房 话补 节日福利 新能源车补贴,1.2-2万/月,12-14,深圳
"深圳-龙岗区,3-4年经验,本科,招1人",https://jobs.51job.com/all/co4052246.html,凯儿得乐（深圳）科技发展有限公司,民营公司,https://jobs.51job.com/shenzhen-lgq/127287717.html?s=01&t=0,数据开发工程师,年终奖金 五险一金 交通补贴 通讯补贴 住房补贴 父母养老金,1.5-2万/月,12-14,深圳-龙岗区
"深圳-南山区,5-7年经验,本科,招2人",https://jobs.51job.com/all/co2548456.html,深圳市华傲数据技术有限公司,民营公司,https://jobs.51job.com/shenzhen-nsq/123555158.html?s=01&t=0,高级Java开发工程师（政务大数据）,五险一金 绩效奖金 年终奖金 补充医疗保险 定期体检,2-3万/月,12-14,深圳-南山区
"深圳-龙华区,3-4年经验,本科,招若干人",https://jobs.51job.com/all/co5051437.html,精奥科技（深圳）有限公司,民营公司,https://jobs.51job.com/shenzhen-lhq/127116495.html?s=01&t=0,数据分析组长,节日福利 专业培训 带薪年假 五险一金 弹性工作 提成,1.2-2.5万/月,12-14,深圳-龙华区
"深圳-南山区,1年经验,硕士,招1人",https://jobs.51job.com/all/co5479628.html,深圳市华膳科技有限公司,民营公司,https://jobs.51job.com/shenzhen-nsq/127055463.html?s=01&t=0,算法工程师,五险一金 专业培训 绩效奖金 培训奖金 项目奖金 年终奖金 期权奖励,0.8-1.2万/月,12-13,深圳-南山区
"深圳-福田区,1年经验,本科,招2人",https://jobs.51job.com/all/co3050190.html,深圳东金首创投资管理有限公司,民营公司,https://jobs.51job.com/shenzhen-ftq/111024849.html?s=01&t=0,Java后端开发工程师,五险一金 绩效奖金 年终奖金 定期体检 周末双休,0.7-1.2万/月,12-13,深圳-福田区
"深圳,3-4年经验,本科,招1人",https://jobs.51job.com/all/co3055059.html,深圳市鑫贝帝科技有限公司,民营公司,https://jobs.51job.com/shenzhen/124148600.html?s=01&t=0,数据分析师,弹性工作 带薪年假 包吃 节日福利 专业培训 年终奖金,1-1.5万/月,12-12,深圳
"深圳-福田区,3-4年经验,本科,招1人",https://jobs.51job.com/all/co303045.html,妍丽化妆品（中国）有限公司,合资,https://jobs.51job.com/shenzhen-ftq/126605771.html?s=01&t=0,BI商业数据分析师,带薪年假 五险一金 绩效奖金 节日福利,1.5-2万/月,12-10,深圳-福田区
"深圳-龙华区,2年经验,本科,招1人",https://jobs.51job.com/all/co5604418.html,雷特网络科技有限公司,民营公司,https://jobs.51job.com/shenzhen-lhq/125409456.html?s=01&t=0,数据分析师,五险一金 员工旅游 专业培训 年终奖金 绩效奖金 老板nice 每月团建 下午茶 生日会 发展空间大,1.5-3万/月,12-09,深圳-龙华区
"深圳-龙岗区,3-4年经验,本科,招1人",https://jobs.51job.com/all/co5601872.html,百佬汇跨境电商（深圳）有限公司,民营公司,https://jobs.51job.com/shenzhen-lgq/126552766.html?s=01&t=0,运维工程师,五险一金 员工旅游 专业培训 绩效奖金 年终奖金 定期体检 餐饮补贴,1.5-3万/月,12-09,深圳-龙岗区
"深圳-龙岗区,2年经验,本科,招6人",https://jobs.51job.com/all/co6104149.html,南京翼海云峰软件技术有限公司,民营公司,https://jobs.51job.com/shenzhen-lgq/127426770.html?s=01&t=0,系统运维工程师,五险一金 免费班车 定期体检 年终奖金,0.9-1.5万/月,12-08,深圳-龙岗区
"深圳-龙岗区,2年经验,本科,招2人",https://jobs.51job.com/all/co4620102.html,上海海吉星马克市场管理有限公司,合资,https://jobs.51job.com/shenzhen-lgq/124161800.html?s=01&t=0,咨询顾问（数据分析方向）,五险一金 交通补贴 餐饮补贴 通讯补贴 绩效奖金 定期体检 年终奖金,6-9千/月,12-08,深圳-龙岗区
"深圳-南山区,2年经验,招若干人",https://jobs.51job.com/all/co2582779.html,TCL电子,合资,https://jobs.51job.com/shenzhen-nsq/127435757.html?s=01&t=0,算法专家,五险一金 补充医疗保险 年终奖金 出国机会 弹性工作 员工旅游 免费班车 通讯补贴 专业培训,3-5万/月,12-06,深圳-南山区
"深圳-福田区,无需经验,本科,招2人",https://jobs.51job.com/all/co6210306.html,粤港澳大湾区数字经济研究院（福田）,事业单位,https://jobs.51job.com/shenzhen-ftq/127230188.html?s=01&t=0,数据抓取工程师（AI计算与数据智能）,,2-2.5万/月,11-28,深圳-福田区
"深圳,3-4年经验,大专,招若干人",https://jobs.51job.com/all/co6174540.html,深圳吉吉国际供应链有限公司,合资,https://jobs.51job.com/shenzhen/126952172.html?s=01&t=0,Web前端工程师,,1.5-2.5万/月,11-21,深圳
"深圳-龙岗区,3-4年经验,大专,招1人",https://jobs.51job.com/all/co6053700.html,深圳市付讯科技有限公司,民营公司,https://jobs.51job.com/shenzhen-lgq/125729774.html?s=01&t=0,php高级工程师 全栈工程师,五险一金 绩效奖金 员工旅游 年终奖金 带薪年假 周末双休 地铁周边 甲级写字楼,0.8-2万/月,11-20,深圳-龙岗区
"深圳-福田区,无需经验,大专,招4人",https://jobs.51job.com/all/co6092118.html,深圳市智博学教育咨询有限公司,民营公司,https://jobs.51job.com/shenzhen-ftq/125661447.html?s=01&t=0,AI数据分析人工智能师,,1-1.5万/月,11-10,深圳-福田区
"深圳-南山区,8-9年经验,本科,招若干人",https://jobs.51job.com/all/co3275474.html,安克创新科技股份有限公司深圳分公司,民营公司,https://jobs.51job.com/shenzhen-nsq/125832334.html?s=01&t=0,数据分析经理（财务方向）,五险一金 年终奖金 员工旅游 专业培训 定期体检 包三餐 补充医疗保险 周末双休,1.3-2.3万/月,11-09,深圳-南山区
"深圳-龙岗区,无需经验,本科,招3人",https://jobs.51job.com/all/co6058440.html,深圳市尚道咨询管理有限公司,民营公司,https://jobs.51job.com/shenzhen-lgq/125162940.html?s=01&t=0,机器人研发测试工程师,五险一金 弹性工作 年终奖金,0.8-1万/月,10-23,深圳-龙岗区
"深圳-龙岗区,无需经验,大专,招2人",https://jobs.51job.com/all/co5983233.html,深圳市华龙帝升科技有限公司,民营公司,https://jobs.51job.com/shenzhen-lgq/124527170.html?s=01&t=0,数据采集专员,,6-8千/月,10-22,深圳-龙岗区
"深圳-龙岗区,3-4年经验,大专,招2人",https://jobs.51job.com/all/co5564449.html,深圳市华晨信息技术有限公司,民营公司,https://jobs.51job.com/shenzhen-lgq/127707092.html?s=01&t=0,Python开发工程师,餐饮补贴 五险 专业培训 年底双薪,1.5-2千/月,12-16,深圳-龙岗区
"深圳-福田区,在校生/应届生,本科,招3人",https://jobs.51job.com/all/co3700533.html,静瞳海外投资顾问（深圳）有限公司,外资（非欧美）,https://jobs.51job.com/shenzhen-ftq/110467278.html?s=01&t=0,爬虫/大数据实习生,弹性工作 餐饮补贴 通讯补贴 交通补贴,4-8千/月,12-15,深圳-福田区
"深圳-福田区,在校生/应届生,本科,招1人",https://jobs.51job.com/all/co232211.html,招商信诺人寿保险有限公司,合资,https://jobs.51job.com/shenzhen-ftq/125434527.html?s=01&t=0,21届校招-Python开发岗,年终奖金 五险一金 补充医疗保险 带薪年假 节日福利 专业培训 高温补贴 加班补贴 周末双休,0.6-1万/月,11-19,深圳-福田区
"深圳-龙岗区,3-4年经验,本科,招20人",https://jobs.51job.com/all/co1686854.html,软通动力信息技术（集团）股份有限公司,民营公司,https://jobs.51job.com/shenzhen-lgq/126775990.html?s=01&t=0,Python工程师,五险一金 弹性工作 定期体检 免费班车,1-2万/月,11-10,深圳-龙岗区
"深圳-南山区,无需经验,本科,招1人",https://jobs.51job.com/all/co3959872.html,华夏城视网络电视股份有限公司,国企,https://jobs.51job.com/shenzhen-nsq/125789628.html?s=01&t=0,PHP开发实习生,,1.5千以下/月,12-15,深圳-南山区
"深圳-龙岗区,3-4年经验,大专,招1人",https://jobs.51job.com/all/co5366644.html,深圳市神火照明有限责任公司,民营公司,https://jobs.51job.com/shenzhen-lgq/124541806.html?s=01&t=0,大数据挖掘工程师,弹性工作 包住宿 绩效奖金 节日福利 通讯补贴 全勤奖 五险一金 加班补贴,2-3千/月,12-15,深圳-龙岗区
"深圳-福田区,5-7年经验,本科,招1人",https://jobs.51job.com/all/co3337175.html,深圳市万普拉斯科技有限公司,民营公司,https://jobs.51job.com/shenzhen-ftq/125810585.html?s=01&t=0,高级安全工程师,周末双休 五险一金 补充公积金 员工旅游 弹性工作 绩效奖金 定期体检 股票期权 补充医疗保险,1.5-4万/月,12-02,深圳-福田区
"深圳-龙华区,3-4年经验,本科,招2人",https://jobs.51job.com/all/co4715833.html,深圳市卖家成长网络科技有限公司,民营公司,https://jobs.51job.com/shenzhen-lhq/126489171.html?s=01&t=0,高级Python爬虫工程师,五险一金 专业培训 绩效奖金,1.2-2万/月,11-11,深圳-龙华区
"深圳-龙华区,5-7年经验,大专,招1人",https://jobs.51job.com/all/co2137051.html,深圳市英驰贸易科技有限公司,民营公司,https://jobs.51job.com/shenzhen-lhq/121920805.html?s=01&t=0,项目经理/技术经理/主管（python爬虫）,五险一金 员工旅游 年终奖金 定期团建 加班补贴 年度调薪 大小周制,1.6-2.5万/月,11-11,深圳-龙华区
"深圳-龙华区,3-4年经验,大专,招1人",https://jobs.51job.com/all/co2137051.html,深圳市英驰贸易科技有限公司,民营公司,https://jobs.51job.com/shenzhen-lhq/121920486.html?s=01&t=0,高级python爬虫工程师,五险一金 员工旅游 年终奖金 定期团建 加班补贴 年度调薪 大小周制,1.5-2万/月,11-11,深圳-龙华区
"深圳-福田区,3-4年经验,本科,招若干人",https://jobs.51job.com/all/co3132608.html,深圳市德科信息技术有限公司,合资,https://jobs.51job.com/shenzhen-ftq/124763993.html?s=01&t=0,Python开发工程师,五险一金 周末双休 绩效奖金 年终奖金 补充商业险 员工旅游,1-1.5万/月,12-16,深圳-福田区
"深圳-龙岗区,3-4年经验,大专,招1人",https://jobs.51job.com/all/co4112809.html,深圳优匠教育科技有限公司,民营公司,https://jobs.51job.com/shenzhen-lgq/126841288.html?s=01&t=0,python后端开发程序员,节日福利 绩效奖金 带薪年假 社保,6-8千/月,12-16,深圳-龙岗区
"深圳-南山区,无需经验,大专,招3人",https://jobs.51job.com/all/co6113880.html,成都优格瑞得科技有限公司,民营公司,https://jobs.51job.com/shenzhen-nsq/126221377.html?s=01&t=0,python开发工程师（双休+14薪）,五险一金 绩效奖金 项目奖金 弹性工作 周末双休 员工旅游 大牛带队 14薪,4-8千/月,12-16,深圳-南山区
"深圳,3-4年经验,本科,招1人",https://jobs.51job.com/all/co1323936.html,深圳市中正国际物流有限公司,民营公司,https://jobs.51job.com/shenzhen/124555223.html?s=01&t=0,Python开发工程师,五险一金 员工旅游 绩效奖金 年终奖金 带薪年假,0.7-2万/月,12-15,深圳
"深圳-龙华区,1年经验,大专,招4人",https://jobs.51job.com/all/co6175896.html,西安华谊兄弟影视文化传播有限公司,上市公司,https://jobs.51job.com/shenzhen-lhq/127288634.html?s=01&t=0,Python开发工程师,五险一金 出国机会 弹性工作 年终奖金 交通补贴 餐饮补贴 员工旅游 绩效奖金 定期体检 免费班车,6-8千/月,12-15,深圳-龙华区
"深圳-龙岗区,2年经验,大专,招1人",https://jobs.51job.com/all/co2852205.html,深圳市柠檬树科技有限公司,民营公司,https://jobs.51job.com/shenzhen-lgq/124009436.html?s=01&t=0,Python工程师,五险一金 补充医疗保险 员工旅游 股票期权 年终奖金 绩效奖金 定期体检 出国机会,1.2-1.5万/月,12-15,深圳-龙岗区
"深圳-南山区,在校生/应届生,高中,招4人",https://jobs.51job.com/all/co6168096.html,西安赛林环保科技股份有限公司,民营公司,https://jobs.51job.com/shenzhen-nsq/126984945.html?s=01&t=0,Python开发工程师(实习生),五险一金 补充公积金 免费班车 员工旅游 出国机会 定期体检 专业培训 弹性工作 年终奖金 交通补贴,6-8千/月,12-15,深圳-南山区
"深圳-福田区,无需经验,大专,招5人",https://jobs.51job.com/all/co6089198.html,陕西中凡信息科技有限公司,民营公司,https://jobs.51job.com/shenzhen-ftq/126514961.html?s=01&t=0,Python开发（实习生）,五险一金 补充公积金 员工旅游 交通补贴 餐饮补贴 出国机会 弹性工作 免费班车 通讯补贴 年终奖金,6-8千/月,12-15,深圳-福田区
"深圳-龙华区,3-4年经验,本科,招1人",https://jobs.51job.com/all/co3085419.html,深圳市绿联科技有限公司,民营公司,https://jobs.51job.com/shenzhen-lhq/126915358.html?s=01&t=0,爬虫开发工程师,五险一金 年终奖金 绩效奖金 定期体检 员工旅游 食宿 专业培训,1.5-2万/月,12-16,深圳-龙华区
"深圳-福田区,在校生/应届生,本科,招1人",https://jobs.51job.com/all/co5353053.html,深圳市可利亚企业管理咨询有限公司,合资,https://jobs.51job.com/shenzhen-ftq/123977122.html?s=01&t=0,Python 软件开发(338),五险一金 员工旅游 餐饮补贴 专业培训 出国机会 绩效奖金 年终奖金 股票期权 弹性工作,6-8千/月,12-16,深圳-福田区
"深圳-宝安区,1年经验,大专,招2人",https://jobs.51job.com/all/co6092369.html,深圳抖屏科技有限公司,民营公司,https://jobs.51job.com/shenzhen-baq/126229273.html?s=01&t=0,机器学习/爬虫数据8k起包住,五险一金 交通补贴 绩效奖金 年终奖金 餐饮补贴 补充公积金 通讯补贴 股票期权 定期体检 团建旅游,0.8-1万/月,12-15,深圳-宝安区
"深圳-龙岗区,3-4年经验,本科,招2人",https://jobs.51job.com/all/co4656062.html,合肥市合趣网络科技有限公司,民营公司,https://jobs.51job.com/shenzhen-lgq/126224610.html?s=01&t=0,Python后端开发工程师（坂田）,五险 高温补贴 住房补贴 每年多次调薪 午餐补助,1.5-2万/月,12-15,深圳-龙岗区
"异地招聘,3-4年经验,本科,招2人",https://jobs.51job.com/all/co5382002.html,深圳旭宏医疗科技有限公司,创业公司,https://jobs.51job.com/dalian-gxyq/125631968.html?s=01&t=0,Python开发工程师,五险一金 专业培训 年终奖金 绩效奖金,0.8-1万/月,12-15,异地招聘
"深圳-南山区,2年经验,本科,招若干人",https://jobs.51job.com/all/co4954125.html,深圳新房网络科技有限公司,民营公司,https://jobs.51job.com/shenzhen-nsq/126946944.html?s=01&t=0,数据爬虫工程师,五险一金 弹性工作 交通补贴 带薪年假,1.5-2万/月,12-15,深圳-南山区
"深圳-南山区,3-4年经验,本科,招1人",https://jobs.51job.com/all/co4254486.html,深圳金蝶账无忧网络科技有限公司,民营公司,https://jobs.51job.com/shenzhen-nsq/123078473.html?s=01&t=0,python软件开发工程师,五险一金 绩效奖金 弹性工作 员工旅游 补充医疗保险 定期团建 员工班车 定期体检 节日福利,1.2-2万/月,12-15,深圳-南山区
"深圳-罗湖区,2年经验,本科,招1人",https://jobs.51job.com/all/co3096449.html,深圳市维度数据科技股份有限公司,上市公司,https://jobs.51job.com/shenzhen-lhq/124980563.html?s=01&t=0,Python工程师,五险一金 节日福利 带薪年假 员工旅游 定期体检 年底双薪 项目奖金 婚庆礼金 生育礼金 员工持股计划,0.8-1.5万/月,12-15,深圳-罗湖区
"深圳-宝安区,1年经验,本科,招1人",https://jobs.51job.com/all/co4149597.html,深圳市沁泽通达科技有限公司,民营公司,https://jobs.51job.com/shenzhen-baq/127321629.html?s=01&t=0,python前端工程师,员工旅游 绩效奖金 年终奖金 节日福利 社会保险 加班补贴 全勤奖 提供早餐 五险一金,0.6-1万/月,12-14,深圳-宝安区
"深圳-福田区,3-4年经验,本科,招3人",https://jobs.51job.com/all/co1756330.html,深圳高速工程顾问有限公司,民营公司,https://jobs.51job.com/shenzhen-ftq/126101617.html?s=01&t=0,C++/Python工程师,五险一金 员工旅游 专业培训 年终奖金 定期体检,2-2.5万/月,12-14,深圳-福田区
"深圳-龙华区,3-4年经验,大专,招若干人",https://jobs.51job.com/all/co5823962.html,深圳市艾姆诗数码科技有限公司,民营公司,https://jobs.51job.com/shenzhen-lhq/126948294.html?s=01&t=0,高级爬虫开发工程师/高级爬虫专家,五险一金 员工旅游 节日福利 带薪年假 年终奖金 加班补贴 下午茶 全勤奖 专业培训 氛围融洽,2-2.5万/月,12-14,深圳-龙华区
"深圳-南山区,5-7年经验,本科,招1人",https://jobs.51job.com/all/co5102741.html,雷神科技有限公司,民营公司,https://jobs.51job.com/shenzhen-nsq/126861457.html?s=01&t=0,Python高级开发工程师,五险一金 员工旅游 绩效奖金 年终奖金 股票期权 定期体检 餐饮补贴 弹性工作 专业培训,1.5-3万/月,12-14,深圳-南山区
"深圳-龙岗区,3-4年经验,本科,招1人",https://jobs.51job.com/all/co6132551.html,深圳市途林科技有限公司,民营公司,https://jobs.51job.com/shenzhen-lgq/126135195.html?s=01&t=0,Python高级开发工程师,,1.5-3万/月,12-14,深圳-龙岗区
"异地招聘,2年经验,本科,招2人",https://jobs.51job.com/all/co4822793.html,龙马智芯（珠海横琴）科技有限公司,民营公司,https://jobs.51job.com/zhuhai-xzq/125996452.html?s=01&t=0,Python工程师（珠海）,绩效奖金 年终奖金 股票期权 六险一金,0.8-1.5万/月,12-14,异地招聘
"深圳-南山区,3-4年经验,大专,招1人",https://jobs.51job.com/all/co4682506.html,深圳万拓科技创新有限公司,民营公司,https://jobs.51job.com/shenzhen-nsq/122750139.html?s=01&t=0,Python开发工程师,五险一金 业绩为王 发展空间大,1.5-2.5万/月,12-14,深圳-南山区
"异地招聘,3-4年经验,大专,招2人",https://jobs.51job.com/all/co5623287.html,深圳荷花网络科技有限公司,民营公司,https://jobs.51job.com/guangzhou-hpq/116992169.html?s=01&t=0,python开发工程师,,1-1.5万/月,12-14,异地招聘
"深圳-南山区,在校生/应届生,大专,招1人",https://jobs.51job.com/all/co3112767.html,亚洲保理（深圳）有限公司,民营公司,https://jobs.51job.com/shenzhen-nsq/126099320.html?s=01&t=0,Python开发工程师,,1-1.5万/月,12-14,深圳-南山区
"异地招聘,2年经验,大专,招2人",https://jobs.51job.com/all/co5670545.html,广东钳钳科技有限公司,民营公司,https://jobs.51job.com/shantou/127604831.html?s=01&t=0,Python高级开发工程师,五险一金 餐饮补贴 年终奖金 绩效奖金 员工旅游 定期体检 每周双休,1-1.5万/月,12-13,异地招聘
"深圳-南山区,3-4年经验,本科,招若干人",https://jobs.51job.com/all/co6240664.html,深圳金蝶账无忧网络科技有限公司,民营公司,https://jobs.51job.com/shenzhen-nsq/127587017.html?s=01&t=0,python软件开发工程师,五险一金 免费班车 年终奖金 弹性工作 员工旅游 专业培训,1.2-2万/月,12-13,深圳-南山区
"深圳-罗湖区,2年经验,本科,招1人",https://jobs.51job.com/all/co3215868.html,深圳市阿卡索资讯股份有限公司,民营公司,https://jobs.51job.com/shenzhen-lhq/126702779.html?s=01&t=0,爬虫开发工程师,五险一金 做五休二 商业保险 带薪年假,1-1.5万/月,12-12,深圳-罗湖区
"异地招聘,2年经验,本科,招2人",https://jobs.51job.com/all/co5438024.html,东莞先知大数据有限公司,创业公司,https://jobs.51job.com/dongguan-dcq/125841833.html?s=01&t=0,python 数据库后端工程师,绩效奖金 年终奖金 交通补贴 五险一金 餐饮补贴 住宿补贴,0.8-1.5万/月,12-12,异地招聘
"深圳-南山区,3-4年经验,大专,招1人",https://jobs.51job.com/all/co2117924.html,深圳麦亚信科技股份有限公司,上市公司,https://jobs.51job.com/shenzhen-nsq/123318633.html?s=01&t=0,急招爬虫开发工程师（外包）,五险一金 员工旅游 生日礼物 司龄补贴 过节礼物 年度体检 伯乐奖 级别福利,1.1-1.4万/月,12-11,深圳-南山区
"深圳-南山区,3-4年经验,大专,招5人",https://jobs.51job.com/all/co6169561.html,深圳市汇泉教育科技有限责任公司,民营公司,https://jobs.51job.com/shenzhen-nsq/127569434.html?s=01&t=0,Python开发工程师,五险一金 周末双休,0.8-1.3万/月,12-15,深圳-南山区
"深圳-南山区,3-4年经验,大专,招5人",https://jobs.51job.com/all/co6169561.html,深圳市汇泉教育科技有限责任公司,民营公司,https://jobs.51job.com/shenzhen-nsq/127538666.html?s=01&t=0,Python开发工程师,五险一金 周末双休,0.8-1.3万/月,12-15,深圳-南山区
"异地招聘,2年经验,大专,招3人",https://jobs.51job.com/all/co6169561.html,深圳市汇泉教育科技有限责任公司,民营公司,https://jobs.51job.com/jinan-lxq/126740923.html?s=01&t=0,Python软件开发工程师,,0.8-1.2万/月,12-15,异地招聘
"深圳-南山区,2年经验,大专,招5人",https://jobs.51job.com/all/co6169561.html,深圳市汇泉教育科技有限责任公司,民营公司,https://jobs.51job.com/shenzhen-nsq/126653824.html?s=01&t=0,Python软件开发工程师,,0.8-1.2万/月,12-15,深圳-南山区
"深圳-南山区,大专,招1人",https://jobs.51job.com/all/co5489755.html,深圳市宇达计算机有限公司,民营公司,https://jobs.51job.com/shenzhen-nsq/113459839.html?s=01&t=0,网络推广专员(SEM/会Python为佳),,0.4-2万/月,12-15,深圳-南山区
"深圳-福田区,2年经验,本科,招1人",https://jobs.51job.com/all/co3414567.html,深圳市道合顺电子科技有限公司,民营公司,https://jobs.51job.com/shenzhen-ftq/114992937.html?s=01&t=0,Python开发工程师,五险一金 员工旅游 绩效奖金 出国机会 专业培训 定期体检,1.5-3万/月,12-16,深圳-福田区
